BuildingType	PrimaryPropertyType	Agebuilding	NumberofBuildings	NumberofFloors	PropertyGFAParking	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEnergyUse(kBtu)	GHGEmissions(MetricTonsCO2e)	Latitude	Longitude
NonResidential	Hotel	88	1.0	12.0	0	Hotel	88434.0	Hotel	0.0	0.0	65.0	6981428.0	249.43	47.61219025	-122.33799744
NonResidential	Hotel	19	1.0	11.0	15064	Hotel	83880.0	Parking	15064.0	4622.0	51.0	8354235.0	263.51	47.61310583	-122.33335756
NonResidential	Hotel	46	1.0	41.0	0	Hotel	757243.0	Parking	100000.0	0.0	18.0	73130656.0	2061.48	47.61334897	-122.33769944
NonResidential	Hotel	89	1.0	10.0	0	Hotel	61320.0	Hotel	0.0	0.0	1.0	28229320.0	1936.34	47.61421585	-122.33660889
NonResidential	Hotel	35	1.0	18.0	12460	Hotel	123445.0	Parking	68009.0	0.0	67.0	14829099.0	507.7	47.6137544	-122.3409238
Nonresidential COS	Other	16	1.0	2.0	37198	Police Station	88830.0	Police Station	0.0	0.0	35.8	12051984.0	304.62	47.6164389	-122.33676431
NonResidential	Hotel	89	1.0	11.0	0	Hotel	81352.0	Hotel	0.0	0.0	25.0	6252842.0	208.46	47.6141141	-122.33274086
NonResidential	Other	89	1.0	8.0	0	Other-Entertainment/Public Assembly	102761.0	Other-Entertainment/Public Assembly	0.0	0.0	77.0	6426022.0	199.99	47.61290234	-122.33130949
NonResidential	Hotel	111	1.0	15.0	0	Hotel	163984.0	Hotel	0.0	0.0	46.0	12633744.0	331.61	47.60258934	-122.33255325
NonResidential	Hotel	46	1.0	11.0	19279	Hotel	58392.8	Hotel	0.0	0.0	48.0	14719853.0	576.63	47.60712147	-122.33431932
NonResidential	Hotel	17	1.0	25.0	61161	Hotel	336640.0	Hotel	0.0	0.0	32.0	27717026.0	723.4	47.60718204	-122.33347215
NonResidential	Hotel	87	1.0	9.0	0	Hotel	65009.0	Hotel	0.0	0.0	39.0	6807227.0	334.87	47.60709939	-122.33310536
NonResidential	Hotel	35	1.0	33.0	57600	Hotel	295511.0	Parking	57600.0	0.0	56.0	22811690.0	675.34	47.60809326	-122.33211517
NonResidential	Hotel	93	1.0	11.0	0	Hotel	43027.8	Hotel	0.0	0.0	14.0	10711451.0	486.25	47.60761642	-122.3323288
Nonresidential COS	Other	11	1.0	11.0	57000	Library	364913.0	Parking	49000.0	1074.0	79.0	16849234.0	166.84	47.60667501	-122.33226425
NonResidential	Other	85	1.0	6.0	0	Fitness Center/Health Club/Gym	90000.0	Office	40000.0	0.0	48.4	10340282.0	411.09	47.60544586	-122.33280182
NonResidential	Hotel	32	1.0	28.0	85000	Hotel	348329.0	Parking	85000.0	0.0	30.0	33270518.0	755.12	47.60656003	-122.33063632
NonResidential	Mixed Use Property	108	1.0	5.0	0	Social/Meeting Hall	16442.0	Restaurant	15505.0	9741.0	27.6	7481768.0	265.5	47.60552597	-122.33163032
NonResidential	Hotel	99	1.0	10.0	0	Hotel	43027.8	Hotel	0.0	0.0	83.0	7845112.0	411.22	47.60397899	-122.3320576
NonResidential	Other	99	1.0	10.0	0	Courthouse	537150.0	Courthouse	0.0	0.0	67.0	53332648.0	1596.08	47.60264587	-122.33052826
NonResidential	Other	30	1.0	19.0	0	Other	385274.0	Other	0.0	0.0	73.0	50899248.0	1795.42	47.60355377	-122.32830048
SPS-District K-12	K-12 School	54	1.0	2.0	0	K-12 School	58320.0	K-12 School	0.0	0.0	96.0	1454222.0	35.17	47.54570136	-122.2685843
NonResidential	Hotel	14	1.0	6.0	30586	Hotel	58006.0	Parking	30586.0	0.0	85.0	3880806.0	102.08	47.65953281	-122.3173925
NonResidential	College/University	87	1.0	7.0	0	College/University	125000.0	College/University	0.0	0.0	73.8	9791557.0	308.6	47.61839333	-122.3369292
NonResidential	Other	85	1.0	2.0	0	Automobile Dealership	67224.0	Automobile Dealership	0.0	0.0	90.2	1388717.0	9.68	47.61490582	-122.33040102
NonResidential	Hotel	24	1.0	8.0	30301	Hotel	112676.0	Parking	42000.0	4500.0	70.8	5159342.0	249.43	47.61300278	-122.32923126
NonResidential	Hotel	14	1.0	10.0	38281	Hotel	128909.0	Hotel	0.0	0.0	20.0	11026945.0	319.73	47.61806905	-122.33005445
SPS-District K-12	K-12 School	60	1.0	1.0	0	K-12 School	126351.0	K-12 School	0.0	0.0	57.0	6283226.0	244.51	47.62309371	-122.3053887
NonResidential	Hotel	37	1.0	5.0	16200	Hotel	47994.0	Hotel	0.0	0.0	60.0	4341706.0	125.57	47.61587049	-122.34197968
SPS-District K-12	K-12 School	66	1.0	2.0	0	K-12 School	164229.0	K-12 School	0.0	0.0	80.0	6387710.0	260.37	47.71011498	-122.29379175
SPS-District K-12	K-12 School	26	1.0	2.0	0	K-12 School	55166.0	K-12 School	0.0	0.0	94.0	1472548.0	10.27	47.63303191	-122.35245717
NonResidential	Small- and Mid-Sized Office	109	1.0	3.0	0	Office	40943.0	K-12 School	18153.0	4307.0	43.0	3988729.0	149.39	47.66391557	-122.33172174
NonResidential	Hotel	21	1.0	4.0	0	Hotel	81871.0	Hotel	0.0	0.0	20.0	7419765.0	243.37	47.66585193	-122.29889419
NonResidential	Self-Storage Facility	60	1.0	2.0	0	Self-Storage Facility	26225.0	Self-Storage Facility	0.0	0.0	77.0	306721.0	3.71	47.66270326	-122.29612323
NonResidential	Distribution Center	54	7.0	2.0	0	Distribution Center	58392.8	Distribution Center	0.0	0.0	1.0	47843892.0	333.54	47.5106034	-122.29027588
SPS-District K-12	K-12 School	25	1.0	2.0	0	K-12 School	54986.0	K-12 School	0.0	0.0	91.0	1655612.0	28.78	47.65726207	-122.39065097
SPS-District K-12	K-12 School	65	1.0	2.0	0	K-12 School	182861.0	K-12 School	0.0	0.0	88.0	6227419.0	258.67	47.68245037	-122.2939354
NonResidential	Small- and Mid-Sized Office	54	1.0	2.0	0	Office	55586.0	Non-Refrigerated Warehouse	39314.0	0.0	57.0	6043853.0	123.08	47.66580963	-122.3860321
